PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
37.09,7.22,20.21,7.22,8.66,7.94,0.86,175.0,Moderate
33.4,7.4,20.09,7.4,9.95,8.39,0.8,179.0,Moderate
38.64,7.35,20.21,7.35,9.74,6.28,1.31,174.0,Moderate
40.49,7.48,20.23,7.48,8.92,21.51,1.17,176.0,Moderate
41.37,7.47,20.2,7.47,11.73,19.8,1.82,179.0,Moderate
44.56,7.49,20.06,7.49,11.23,22.77,1.38,175.0,Moderate
65.68,7.57,19.94,7.57,8.21,30.21,3.62,177.0,Moderate
33.34,7.3,20.27,7.3,6.41,32.95,0.0,175.0,Moderate
39.17,7.35,20.24,7.35,9.17,26.64,0.79,174.0,Moderate
34.0,7.41,20.1,7.41,9.64,17.17,1.21,179.0,Moderate
36.38,7.31,20.14,7.31,10.65,13.35,2.0,177.0,Moderate
38.35,7.41,20.16,7.41,9.33,18.59,1.63,180.0,Moderate
38.5,12.38,19.67,12.38,10.37,16.33,1.56,274.0,Poor
39.61,17.31,14.84,17.31,10.76,5.38,1.67,310.0,Very Poor
61.79,17.24,14.82,17.24,12.39,8.06,0.91,303.0,Very Poor
43.22,17.17,14.82,17.17,11.68,37.87,1.29,302.0,Very Poor
33.41,17.12,14.86,17.12,12.96,86.83,1.08,302.0,Very Poor
36.9,17.08,14.85,17.08,4.73,54.01,0.91,302.0,Very Poor
36.36,17.11,14.79,17.11,8.86,77.3,0.0,302.0,Very Poor
32.64,17.01,14.84,17.01,7.05,62.31,0.0,302.0,Very Poor
38.23,17.07,14.89,17.07,10.9,55.94,0.0,302.0,Very Poor
39.86,16.98,14.83,16.98,10.02,96.83,0.0,301.0,Very Poor
72.74,17.04,14.84,17.04,4.23,99.03,0.0,302.0,Very Poor
43.2,17.05,14.86,17.05,5.96,59.99,0.0,302.0,Very Poor
63.2,17.03,14.82,17.03,3.69,7.57,0.0,302.0,Very Poor
64.73,17.01,14.82,17.01,6.45,12.13,0.0,302.0,Very Poor
65.28,17.04,14.85,17.04,6.13,18.2,0.0,301.0,Very Poor
67.86,16.97,14.87,16.97,8.87,16.53,0.0,302.0,Very Poor
52.4,16.97,14.81,16.97,9.89,22.55,0.0,301.0,Very Poor
33.33,16.95,14.89,16.95,6.88,33.58,0.0,302.0,Very Poor
29.52,16.94,14.88,16.94,8.56,40.65,0.0,301.0,Very Poor
15.53,17.0,14.85,17.0,15.13,34.18,0.0,301.0,Very Poor
50.24,9.46,12.31,9.46,11.63,13.61,0.0,226.0,Poor
61.77,8.68,15.43,8.68,8.1,18.69,0.0,276.0,Poor
46.93,7.14,11.47,7.14,7.92,19.03,0.0,209.0,Poor
43.01,6.82,9.96,6.82,11.58,20.59,0.0,179.0,Moderate
42.06,8.43,11.35,8.43,11.63,28.09,0.0,197.0,Moderate
44.94,7.14,10.94,7.14,5.85,59.38,0.0,229.0,Poor
29.58,6.61,9.94,6.61,8.82,42.9,0.0,170.0,Moderate
32.15,6.5,9.7,6.5,9.2,39.02,0.0,164.0,Moderate
